Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Repaired?
2015-01-02 00:00:00+01:00,24.28457083421897,24.28457083421897,23.855862975047458,24.053144454956055,1184278,0.0,0.0,0.0,False
2015-01-05 00:00:00+01:00,23.8331002727445,24.113847396122015,23.14261578637345,23.161584854125977,1036640,0.0,0.0,0.0,False
2015-01-06 00:00:00+01:00,23.20331681728188,23.446124348968098,22.964302520107672,22.9870662689209,1390817,0.0,0.0,0.0,False
2015-01-07 00:00:00+01:00,23.157791619474313,23.396804478200913,22.990860349859048,23.161584854125977,842751,0.0,0.0,0.0,False
2015-01-08 00:00:00+01:00,23.51061658769881,24.060726667284644,23.442326801071488,24.000024795532227,1377479,0.0,0.0,0.0,False
2015-01-09 00:00:00+01:00,23.817928214637583,23.905187097926873,23.142619454335147,23.328519821166992,796587,0.0,0.0,0.0,False
2015-01-12 00:00:00+01:00,23.457513675679934,23.704114512614503,23.264025373383888,23.61685562133789,469832,0.0,0.0,0.0,False
2015-01-13 00:00:00+01:00,23.499233991763067,24.083490411909345,23.499233991763067,24.000024795532227,775335,0.0,0.0,0.0,False
2015-01-14 00:00:00+01:00,23.669965257159447,24.14040598380254,23.590294298958927,23.688934326171875,1138488,0.0,0.0,0.0,False
2015-01-15 00:00:00+01:00,23.965888795486247,24.280780867034313,22.930161910296494,24.18593406677246,985832,0.0,0.0,0.0,False
2015-01-16 00:00:00+01:00,24.129023271693406,24.584289609344605,24.041764396846776,24.52358627319336,1293950,0.0,0.0,0.0,False
2015-01-19 00:00:00+01:00,24.64878176113619,24.80812365757917,24.523583316290686,24.68671989440918,1003055,0.0,0.0,0.0,False
2015-01-20 00:00:00+01:00,24.76639835884262,24.940916140457006,24.720873742896636,24.857450485229492,1420666,0.0,0.0,0.0,False
2015-01-21 00:00:00+01:00,24.956088923117193,25.05852508544922,24.588082885284635,25.05852508544922,1358388,0.0,0.0,0.0,False
2015-01-22 00:00:00+01:00,25.06231756514051,25.52896509582375,24.978851917823622,25.426528930664062,2096272,0.0,0.0,0.0,False
2015-01-23 00:00:00+01:00,25.661748676909347,26.166334322035446,25.65416220687117,25.9462890625,3305212,0.0,0.0,0.0,False
2015-01-26 00:00:00+01:00,25.81730337017841,26.166338943470073,25.760394704110315,26.139781951904297,2365595,0.0,0.0,0.0,False
2015-01-27 00:00:00+01:00,26.147361920282552,26.147361920282552,25.688303811961635,25.870410919189453,2342036,0.0,0.0,0.0,False
2015-01-28 00:00:00+01:00,26.022163554748914,26.022163554748914,25.559313657332606,25.756593704223633,1949755,0.0,0.0,0.0,False
2015-01-29 00:00:00+01:00,25.646572887375733,25.874204617349093,25.521374422817313,25.859031677246094,1210654,0.0,0.0,0.0,False
2015-01-30 00:00:00+01:00,25.988024941678933,26.010787248966146,25.559318418965724,25.707279205322266,1007327,0.0,0.0,0.0,False
2015-02-02 00:00:00+01:00,25.733835131720724,25.862825393676758,25.50999517283359,25.862825393676758,579288,0.0,0.0,0.0,False
2015-02-03 00:00:00+01:00,25.99182115183222,26.28394805899968,25.99182115183222,26.15116310119629,887155,0.0,0.0,0.0,False
2015-02-04 00:00:00+01:00,26.2042732517845,26.2042732517845,25.995609138258274,26.185302734375,1165279,0.0,0.0,0.0,False
2015-02-05 00:00:00+01:00,25.972844943596737,26.173919677734375,25.896968668467412,26.173919677734375,994663,0.0,0.0,0.0,False
2015-02-06 00:00:00+01:00,26.06010821348834,26.15874680341759,25.97664256470614,26.0411376953125,2726106,0.0,0.0,0.0,False
2015-02-09 00:00:00+01:00,25.81350527485391,25.81350527485391,25.49481852369801,25.699687957763672,1201265,0.0,0.0,0.0,False
2015-02-10 00:00:00+01:00,25.707277109933457,26.109426609867615,25.608635628904377,25.96146583557129,711950,0.0,0.0,0.0,False
2015-02-11 00:00:00+01:00,25.965261532349064,25.965261532349064,25.77177324513549,25.88179588317871,751795,0.0,0.0,0.0,False
2015-02-12 00:00:00+01:00,25.889380232656528,26.31429491430362,25.84385562374415,26.189096450805664,4101373,0.0,0.0,0.0,False
2015-02-13 00:00:00+01:00,26.325672120373625,26.56089317764149,26.325672120373625,26.390167236328125,1124496,0.0,0.0,0.0,False
2015-02-16 00:00:00+01:00,26.397762359303922,26.424319347814503,26.302915558266896,26.348440170288086,1143649,0.0,0.0,0.0,False
2015-02-17 00:00:00+01:00,26.177707588548678,26.397752781797553,25.92731073530128,26.3332576751709,1168909,0.0,0.0,0.0,False
2015-02-18 00:00:00+01:00,26.496402672096156,26.617809364036656,26.477435047351587,26.557106018066406,929050,0.0,0.0,0.0,False
2015-02-19 00:00:00+01:00,26.5039862074183,26.765764263964815,26.35223077036968,26.73541259765625,1081392,0.0,0.0,0.0,False
2015-02-20 00:00:00+01:00,26.67470962861531,26.792321613540505,26.47363490194528,26.779420852661133,663945,0.0,0.0,0.0,False
2015-02-23 00:00:00+01:00,27.065486005782425,27.065486005782425,26.82267838854908,26.982023239135742,994642,0.0,0.0,0.0,False
2015-02-24 00:00:00+01:00,27.05409899476243,27.262763102448748,26.932695212425255,27.17550277709961,1064626,0.0,0.0,0.0,False
2015-02-25 00:00:00+01:00,27.167921071317377,27.20585921723301,27.07686894222086,27.156539916992188,1089442,0.0,0.0,0.0,False
2015-02-26 00:00:00+01:00,27.152745938786882,27.429699910699682,27.114807791886587,27.425905227661133,1199587,0.0,0.0,0.0,False
2015-02-27 00:00:00+01:00,27.45624820748595,27.589033126831055,27.323460393646688,27.589033126831055,710756,0.0,0.0,0.0,False
2015-03-02 00:00:00+01:00,27.57387165526872,27.668718489127723,27.422116142195186,27.543519973754883,878297,0.0,0.0,0.0,False
2015-03-03 00:00:00+01:00,27.547304407597718,27.634561841363148,27.17550368363424,27.221031188964844,1070865,0.0,0.0,0.0,False
2015-03-04 00:00:00+01:00,27.327264655966175,27.452463150024414,27.076870562344862,27.452463150024414,1316644,0.0,0.0,0.0,False
2015-03-05 00:00:00+01:00,27.55109396741897,27.801487963945036,27.52453698453751,27.733198165893555,684430,0.0,0.0,0.0,False
2015-03-06 00:00:00+01:00,27.73319722368099,27.8735714967105,27.672496791083056,27.729402542114258,622162,0.0,0.0,0.0,False
2015-03-09 00:00:00+01:00,27.573853435548788,27.725608848348305,27.47900666436081,27.69525718688965,1426388,0.0,0.0,0.0,False
2015-03-10 00:00:00+01:00,27.65353129503972,27.668707129566105,27.24758712856595,27.365196228027344,1003796,0.0,0.0,0.0,False
2015-03-11 00:00:00+01:00,27.482804957868815,28.029120463460796,27.471423806949378,27.979801177978516,1340917,0.0,0.0,0.0,False
2015-03-12 00:00:00+01:00,27.945661575635704,28.021537855215787,27.87737176621582,27.91530990600586,1095035,0.0,0.0,0.0,False
2015-03-13 00:00:00+01:00,27.994972208206654,28.048086166381836,27.824246290220458,28.048086166381836,621385,0.0,0.0,0.0,False
2015-03-16 00:00:00+01:00,28.166186310781605,28.46761293045675,28.14710753432887,28.39893341064453,998643,0.209758,0.0,0.0,False
2015-03-17 00:00:00+01:00,28.444727491397522,28.463803361373724,28.040280040324166,28.16619300842285,1244022,0.0,0.0,0.0,False
2015-03-18 00:00:00+01:00,28.219618071282994,28.219618071282994,27.94871618860591,28.13186264038086,2777842,0.0,0.0,0.0,False
2015-03-19 00:00:00+01:00,28.173826430708136,28.311185520822136,27.960158028759086,28.15093421936035,893621,0.0,0.0,0.0,False
2015-03-20 00:00:00+01:00,28.26158271372456,28.677476292861027,28.170010963947522,28.578271865844727,969904,0.0,0.0,0.0,False
2015-03-23 00:00:00+01:00,28.452346401451273,28.471425175161418,28.303541281751077,28.395112991333008,791365,0.0,0.0,0.0,False
2015-03-24 00:00:00+01:00,28.280653905427123,28.730885678260044,28.219604147952243,28.616418838500977,1212534,0.0,0.0,0.0,False
2015-03-25 00:00:00+01:00,28.578264564511976,28.639311411762268,28.22342084989326,28.284467697143555,1435405,0.0,0.0,0.0,False
2015-03-26 00:00:00+01:00,27.9983113165953,28.166195287645465,27.738855593614815,28.158565521240234,2045294,0.0,0.0,0.0,False
2015-03-27 00:00:00+01:00,28.292112250052707,28.356975462178543,28.082257256688035,28.23869514465332,1644015,0.0,0.0,0.0,False
2015-03-30 00:00:00+02:00,28.387495533562877,28.650764676606528,28.387495533562877,28.627872467041016,2605101,0.0,0.0,0.0,False
2015-03-31 00:00:00+02:00,28.56300807256155,28.70799691210783,28.322631149126412,28.364599227905273,1116984,0.0,0.0,0.0,False
2015-04-01 00:00:00+02:00,28.242500207294118,28.776674014076512,28.211978235402338,28.54011344909668,1223106,0.0,0.0,0.0,False
2015-04-02 00:00:00+02:00,28.54773691824971,28.62023277140682,28.46379496428094,28.570629119873047,1396505,0.0,0.0,0.0,False
2015-04-07 00:00:00+02:00,28.73850913347117,29.03611935829516,28.73850913347117,28.944547653198242,389134,0.0,0.0,0.0,False
2015-04-08 00:00:00+02:00,28.952192355359866,29.00560945348123,28.700369308646806,28.784311294555664,1174672,0.0,0.0,0.0,False
2015-04-09 00:00:00+02:00,28.906401247429304,29.043760299682617,28.837721721302646,29.043760299682617,612394,0.0,0.0,0.0,False
2015-04-10 00:00:00+02:00,29.162035643054335,29.32610321044922,29.120064666905943,29.32610321044922,595638,0.0,0.0,0.0,False
2015-04-13 00:00:00+02:00,29.291768214531412,29.478730933786725,29.261246243501116,29.43675994873047,459670,0.0,0.0,0.0,False
2015-04-14 00:00:00+02:00,29.352818488072582,29.394789473857298,28.971266188948288,29.09336280822754,536516,0.0,0.0,0.0,False
2015-04-15 00:00:00+02:00,29.177305603295817,29.345189551173025,29.146780719861216,29.234539031982422,388699,0.0,0.0,0.0,False
2015-04-16 00:00:00+02:00,29.165852425953876,29.165852425953876,28.833900948892683,28.879688262939453,1118092,0.0,0.0,0.0,False
2015-04-17 00:00:00+02:00,28.769046783363063,28.8835107378207,28.16619339244091,28.28829002380371,1241052,0.0,0.0,0.0,False
2015-04-20 00:00:00+02:00,28.368416961109922,28.608796807376912,28.368416961109922,28.60498046875,773060,0.0,0.0,0.0,False
2015-04-21 00:00:00+02:00,28.738525446452194,28.91785553269446,28.528670470846635,28.635507583618164,759794,0.0,0.0,0.0,False
2015-04-22 00:00:00+02:00,28.7995632418417,28.833901544827174,28.372223701610178,28.654571533203125,667241,0.0,0.0,0.0,False
2015-04-23 00:00:00+02:00,28.719439767557894,28.73470220857516,28.26539451909932,28.46380043029785,383695,0.0,0.0,0.0,False
2015-04-24 00:00:00+02:00,28.666019315672408,28.80337835769636,28.475243191862763,28.61260223388672,801430,0.0,0.0,0.0,False
2015-04-27 00:00:00+02:00,28.654580418842013,29.14678329135067,28.353153718111283,29.07428741455078,387562,0.0,0.0,0.0,False
